Last login: Thu Feb 20 14:12:20 on ttys000
maclab-103:~ hanse109$ ps
  PID TTY           TIME CMD
21897 ttys001    0:00.01 -bash
maclab-103:~ hanse109$ ps x
  PID   TT  STAT      TIME COMMAND
hanse109         21266   0.0  0.1  4835852  12260   ??  Ss    2:12PM   0:00.06 /System/Library/
hanse109         21265   0.0  0.1  4363908  19716   ??  Ss    2:12PM   0:00.18 /System/Library/
hanse109         21227   0.0  0.1  4361912   9172   ??  S     2:05PM   0:00.22 /System/Library/
hanse109         21197   0.0  0.1  4310484  16028   ??  S     2:04PM   0:00.02 /System/Library/
hanse109         21134   0.0  0.1  4327436   9656   ??  S     2:03PM   0:00.03 /System/Library/
hanse109         21120   0.0  0.1  4361444  21952   ??  S     2:02PM   0:00.47 /System/Library/
hanse109         21119   0.0  0.1  4328860  15700   ??  S     2:02PM   0:00.13 /usr/libexec/sil
hanse109         21115   0.0  0.1  4355548  12164   ??  S     2:02PM   0:00.06 /System/Library/
hanse109         21114   0.0  0.1  4354724  19388   ??  S     2:01PM   0:00.08 /System/Library/
hanse109         21113   0.0  0.2  4345664  28352   ??  S     2:01PM   0:00.06 /System/Library/
hanse109         21108   0.0  0.2  4882640  31712   ??  Ss    2:01PM   0:00.14 /System/Library/
hanse109         21094   0.0  0.1  4837532  16872   ??  Ss    2:01PM   0:00.13 /System/Library/
hanse109         21082   0.0  0.1  4845780  17784   ??  Ss    2:01PM   0:00.09 /System/Library/
hanse109         21081   0.0  0.3 106203140  44548   ??  Ss    2:01PM   0:00.18 /System/Library/
hanse109         21078   0.0  0.5 89465440  78252   ??  Ss    2:01PM   0:00.75 /System/Library/
hanse109         21074   0.0  0.5 106253236  82072   ??  Ss    2:01PM   0:00.52 /System/Library/
hanse109         21071   0.0  0.2  4327268  27116   ??  S     2:00PM   0:00.05 /System/Library/
dittb001         21068   0.0  0.1  4360060  10640   ??  S     2:00PM   0:00.19 /usr/libexec/tru
thoma130         21067   0.0  0.1  4358016  10856   ??  S     2:00PM   0:00.19 /usr/libexec/tru
herro009         21066   0.0  0.1  4360304  10984   ??  S     2:00PM   0:00.21 /usr/libexec/tru
highm003         21065   0.0  0.1  4358024  10684   ??  S     2:00PM   0:00.19 /usr/libexec/tru
avalo007         21064   0.0  0.1  4358004  10652   ??  S     2:00PM   0:00.19 /usr/libexec/tru
gullo003         21063   0.0  0.1  4360260  10788   ??  S     2:00PM   0:00.19 /usr/libexec/tru
hanse109         21062   0.0  0.1  4360848  17504   ??  S     2:00PM   0:00.12 /usr/libexec/key
hanse109         21061   0.0  0.3  4417904  47168   ??  S     2:00PM   0:00.53 /System/Library/
hanse109         21051   0.0  2.2 106820656 375404   ??  Ss    2:00PM   1:32.02 /System/Library/
hanse109         21043   0.0  0.0  4310972   4968   ??  S     2:00PM   0:00.09 /Applications/Py
hanse109         21025   0.0  0.1  4331520  14788   ??  Ss    2:00PM   0:00.03 /System/Library/
hanse109         21024   0.0  0.1  4365804  22476   ??  S     2:00PM   0:00.12 /System/Library/
hanse109         21023   0.0  0.1  4366316  23344   ??  S     2:00PM   0:00.26 /System/Library/
hanse109         21022   0.0  0.1  4355028  17628   ??  S     2:00PM   0:00.03 /System/Library/
hanse109         21019   0.0  0.1  4328468  13236   ??  S     2:00PM   0:00.03 /System/Library/
hanse109         20972   0.0  0.1  4846560  16136   ??  Ss    2:00PM   0:00.04 /System/Library/
hanse109         20958   0.0  0.2  4457340  35060   ??  Ss    2:00PM   0:00.18 /System/Library/
hanse109         20942   0.0  0.2  4382312  29240   ??  S     2:00PM   0:02.74 /System/Library/
hanse109         20939   0.0  0.1  4354904  10784   ??  S     2:00PM   0:02.12 /Applications/Ut
hanse109         20938   0.0  0.3  5007584  50976   ??  S     2:00PM   0:00.62 /Applications/Ut
hanse109         20937   0.0  0.2  4951268  28792   ??  S     2:00PM   0:00.51 /Applications/Ut
hanse109         20925   0.0  0.0  4311488   6384   ??  S     2:00PM   0:00.02 /System/Library/
hanse109         20921   0.0  0.4  5028000  58928   ??  S     2:00PM   0:00.75 /Library/Applica
hanse109         20919   0.0  0.1  4354904  10732   ??  S     2:00PM   0:01.76 /Library/Applica
hanse109         20917   0.0  0.5  4805096  80580   ??  S     2:00PM   0:00.42 /Applications/Ut
hanse109         20915   0.0  0.1  4354904  10768   ??  S     2:00PM   0:01.77 /Applications/Ut
hanse109         20913   0.0  1.0  5623812 161008   ??  S     2:00PM   0:04.60 /Library/Applica
hanse109         20912   0.0  0.0  4355660   8328   ??  Ss    2:00PM   0:00.04 /System/Library/
hanse109         20909   0.0  0.1  4369792  15360   ??  S     2:00PM   0:00.93 /Library/Applica
hanse109         20902   0.0  0.1  4328584  10944   ??  S     2:00PM   0:00.02 /System/Library/
hanse109         20900   0.0  0.2  4396412  35448   ??  S     2:00PM   0:11.83 /Library/Applica
hanse109         20899   0.0  0.1  4368560  22680   ??  S     2:00PM   0:00.27 /System/Library/
hanse109         20898   0.0  0.4  4720280  60504   ??  S     2:00PM   0:03.81 /Applications/Ut
hanse109         20897   0.0  0.1  4355444  21264   ??  S     2:00PM   0:00.06 /System/Library/
hanse109         20896   0.0  0.1  4359328  16428   ??  S     2:00PM   0:00.07 /usr/libexec/kno
hanse109         20895   0.0  0.1  4873956  14936   ??  S     2:00PM   0:00.13 /System/Library/
hanse109         20894   0.0  0.1  4381796  17540   ??  S     2:00PM   0:00.14 /Library/Applica
hanse109         20891   0.0  0.1  4356276  17068   ??  S     2:00PM   0:00.08 /System/Library/
hanse109         20889   0.0  0.1  4357580  12408   ??  S     2:00PM   0:00.10 /System/Library/
hanse109         20888   0.0  0.1  4355228  18068   ??  S     2:00PM   0:00.03 /usr/libexec/dmd
hanse109         20887   0.0  0.1  4355080  11688   ??  SN    2:00PM   0:00.10 /usr/local/jamf/
hanse109         20885   0.0  0.1  4353896  13496   ??  S     2:00PM   0:00.02 /System/Library/
hanse109         20881   0.0  0.1  4309960  17068   ??  S     2:00PM   0:00.02 /System/Library/
hanse109         20880   0.0  0.2  4359588  25640   ??  Ss    2:00PM   0:05.18 /System/Library/
hanse109         20879   0.0  3.6  9070096 595712   ??  S     2:00PM   0:51.34 /Applications/Py
hanse109         20873   0.0  0.2  4520280  36108   ??  S     2:00PM   0:00.23 /System/Library/
hanse109         20871   0.0  0.1  4354520  11800   ??  Ss    2:00PM   0:00.05 /System/Library/
hanse109         20870   0.0  0.1  4354620  14272   ??  S     2:00PM   0:00.06 /usr/libexec/sir
hanse109         20863   0.0  0.1  4356624  11724   ??  Ss    2:00PM   0:00.06 /System/Library/
hanse109         20859   0.0  0.1  4359348  10248   ??  S     2:00PM   0:00.13 /System/Library/
hanse109         20857   0.0  0.3  4364508  42668   ??  S     2:00PM   0:01.93 /System/Library/
hanse109         20856   0.0  0.1  4302064   9200   ??  Ss    2:00PM   0:00.02 /System/Library/
hanse109         20845   0.0  0.1  4356212   9472   ??  S     2:00PM   0:00.15 /System/Library/
hanse109         20841   0.0  0.2  4405360  34564   ??  Ss    2:00PM   0:00.36 /System/Library/
hanse109         20840   0.0  0.1  4359708  18540   ??  S     2:00PM   0:00.07 /System/Library/
hanse109         20830   0.0  0.1  4356624  11772   ??  Ss    2:00PM   0:00.04 /System/Library/
hanse109         20817   0.0  0.1  4821264   9040   ??  S     2:00PM   0:00.01 SafeEjectGPUAgen
hanse109         20816   0.0  0.1  4327384  15396   ??  Ss    2:00PM   0:00.03 /System/Library/
hanse109         20811   0.0  0.1  4329940  10920   ??  S     2:00PM   0:00.02 /System/Library/
hanse109         20808   0.0  0.2  4877508  31896   ??  Ss    2:00PM   0:00.19 /System/Library/
hanse109         20805   0.0  0.0  4354076   7592   ??  S     2:00PM   0:00.05 /System/Library/
hanse109         20803   0.0  0.1  4360756  18376   ??  S     2:00PM   0:00.16 /System/Library/
hanse109         20801   0.0  0.2  4392152  34376   ??  S     2:00PM   0:00.35 /System/Library/
hanse109         20800   0.0  0.1  4359072  23352   ??  S     2:00PM   0:00.17 /System/Library/
hanse109         20792   0.0  0.1  4359272  21192   ??  S     2:00PM   0:00.17 /usr/libexec/adp
hanse109         20790   0.0  0.1  4356528   9924   ??  S     2:00PM   0:02.84 /System/Library/
hanse109         20788   0.0  0.0  4358456   8192   ??  S     2:00PM   0:00.05 /System/Library/
hanse109         20786   0.0  0.2  4474304  39864   ??  S     2:00PM   0:00.62 /System/Library/
hanse109         20785   0.0  0.2  4472252  37336   ??  S     2:00PM   0:00.07 /System/Library/
hanse109         20784   0.0  0.1  4356452  13512   ??  S     2:00PM   0:00.17 /usr/libexec/vid
hanse109         20782   0.0  0.3  4484168  48816   ??  Ss    2:00PM   0:03.28 /System/Library/
hanse109         20777   0.0  0.2  4397664  27640   ??  S     2:00PM   0:00.49 /System/Library/
hanse109         20773   0.0  0.0  4327636   5100   ??  Ss    2:00PM   0:00.01 /System/Library/
hanse109         20772   0.0  0.1  4354300  13632   ??  Ss    2:00PM   0:00.04 /System/Library/
hanse109         20768   0.0  0.2  4368068  26064   ??  S     2:00PM   0:00.74 /System/Library/
hanse109         20766   0.0  0.1  4394220  22080   ??  Ss    2:00PM   0:00.13 /System/Library/
hanse109         20763   0.0  0.5  5018424  84648   ??  S     2:00PM   0:02.41 /System/Library/
hanse109         20758   0.0  1.1  5541280 184432   ??  S     2:00PM   0:10.80 /System/Library/
hanse109         20757   0.0  0.3  4916740  45108   ??  S     2:00PM   0:00.50 /System/Library/
hanse109         20756   0.0  1.0  5046192 175836   ??  S     2:00PM   0:01.37 /System/Library/
hanse109         20751   0.0  0.0  4299552     24   ??  T     2:00PM   0:00.01 /Applications/Mi
hanse109         20747   0.0  0.7  6574636 117516   ??  S     2:00PM   1:07.00 /Applications/Sa
hanse109         20733   0.0  0.1  4355892   9164   ??  S     2:00PM   0:00.07 /usr/libexec/swc
hanse109         20732   0.0  0.1  4355032  17548   ??  S     2:00PM   0:00.08 /System/Library/
hanse109         20731   0.0  0.2  4375500  35912   ??  S     2:00PM   0:00.63 /System/Library/
hanse109         20729   0.0  0.2  4367460  26020   ??  S     2:00PM   0:00.94 /System/Library/
hanse109         20727   0.0  0.0  4355340   8088   ??  S     2:00PM   0:00.04 /System/Library/
hanse109         20725   0.0  0.1  4355720  18712   ??  S     2:00PM   0:00.07 /System/Library/
hanse109         20724   0.0  0.3  4421812  42212   ??  S     2:00PM   0:00.50 /System/Library/
hanse109         20723   0.0  0.1  4367208  19576   ??  S     2:00PM   0:00.32 /System/Library/
hanse109         20721   0.0  0.1  4329024  18404   ??  S     2:00PM   0:00.07 /System/Library/
hanse109         20720   0.0  0.2  4360432  33576   ??  Ss    2:00PM   0:00.16 /System/Library/
hanse109         20718   0.0  0.1  4361968  14448   ??  S     2:00PM   0:00.12 /System/Library/
hanse109         20716   0.0  0.1  4385444  14740   ??  S     2:00PM   0:00.38 /System/Library/
hanse109         20715   0.0  0.0  4319588   5796   ??  S     2:00PM   0:00.01 /System/Library/
hanse109         20714   0.0  0.2  4362836  39704   ??  S     2:00PM   0:00.52 /System/Library/
hanse109         20713   0.0  0.1  4355796  11940   ??  S     2:00PM   0:00.03 /usr/libexec/net
hanse109         20710   0.0  0.1  4358016   9936   ??  S     2:00PM   0:00.11 /System/Library/
hanse109         20704   0.0  0.1  4355280  12760   ??  Ss    2:00PM   0:00.06 /System/Library/
hanse109         20699   0.0  0.1  4368064  16188   ??  S     2:00PM   0:00.17 /System/Library/
hanse109         20695   0.0  0.1  4356020   9448   ??  S     2:00PM   0:00.14 /System/Library/
hanse109         20693   0.0  0.1  4354624  18512   ??  S     2:00PM   0:00.04 /System/Library/
hanse109         20691   0.0  0.2  4363244  38848   ??  S     2:00PM   0:00.35 /usr/libexec/rou
hanse109         20689   0.0  0.1  4357384  13692   ??  S     2:00PM   0:00.72 /System/Library/
hanse109         20688   0.0  0.1  4378812  18680   ??  S     2:00PM   0:00.19 /System/Library/
hanse109         20686   0.0  0.0  4327160   5632   ??  Ss    2:00PM   0:00.02 /System/Library/
hanse109         20685   0.0  0.1  4354984  12388   ??  S     2:00PM   0:00.16 /System/Library/
hanse109         20684   0.0  0.2  4364316  34916   ??  S     2:00PM   0:00.32 /usr/libexec/sha
hanse109         20683   0.0  0.1  4355280  12620   ??  Ss    2:00PM   0:00.05 /System/Library/
hanse109         20682   0.0  0.1  4356564  11120   ??  S     2:00PM   0:00.10 /System/Library/
hanse109         20681   0.0  0.0  4328280   7736   ??  S     2:00PM   0:00.05 /usr/libexec/pbo
hanse109         20680   0.0  0.1  4355852  23052   ??  S     2:00PM   0:00.07 /usr/libexec/fmf
